id	type	origin	dest	ast	demand
105	121	9002	9008	0	3.8671
106	121	9002	9008	1	3.8671
107	111	9002	9008	0	5.80065
108	111	9002	9008	1	5.80065
109	121	9002	9009	0	2.34134
110	121	9002	9009	1	2.34134
111	111	9002	9009	0	3.5120099999999996
112	111	9002	9009	1	3.5120099999999996
113	121	9002	9010	0	7.974500000000003
114	121	9002	9010	1	7.974500000000003
115	111	9002	9010	0	11.961750000000002
116	111	9002	9010	1	11.961750000000002
117	121	9002	9011	0	4.6173
118	121	9002	9011	1	4.6173
119	111	9002	9011	0	6.92595
120	111	9002	9011	1	6.92595
121	121	9002	9012	0	2.5868800000000003
122	121	9002	9012	1	2.5868800000000003
123	111	9002	9012	0	3.8803199999999998
124	111	9002	9012	1	3.8803199999999998
125	121	9002	9013	0	3.4422800000000002
126	121	9002	9013	1	3.4422800000000002
127	111	9002	9013	0	5.16342
128	111	9002	9013	1	5.16342
129	121	9002	9014	0	3.1127600000000006
130	121	9002	9014	1	3.1127600000000006
131	111	9002	9014	0	4.6691400000000005
132	111	9002	9014	1	4.6691400000000005
133	121	9002	9015	0	3.36292
134	121	9002	9015	1	3.36292
135	111	9002	9015	0	5.044379999999999
136	111	9002	9015	1	5.044379999999999
137	121	9002	9016	0	6.585160000000001
138	121	9002	9016	1	6.585160000000001
139	111	9002	9016	0	9.877740000000001
140	111	9002	9016	1	9.877740000000001
141	121	9002	9017	0	6.35886
142	121	9002	9017	1	6.35886
143	111	9002	9017	0	9.53829
144	111	9002	9017	1	9.53829
145	121	9002	9019	0	2.17802
146	121	9002	9019	1	2.17802
147	111	9002	9019	0	3.26703
148	111	9002	9019	1	3.26703
149	121	9002	9020	0	4.181360000000001
150	121	9002	9020	1	4.181360000000001
151	111	9002	9020	0	6.27204
152	111	9002	9020	1	6.27204
153	121	9002	9022	0	4.476460000000001
154	121	9002	9022	1	4.476460000000001
155	111	9002	9022	0	6.714690000000001
156	111	9002	9022	1	6.714690000000001
157	121	9003	9001	0	1.614508
158	121	9003	9001	1	1.614508
159	111	9003	9001	0	2.4217619999999997
160	111	9003	9001	1	2.4217619999999997
161	121	9003	9004	0	1.8681860000000006
162	121	9003	9004	1	1.8681860000000006
163	111	9003	9004	0	2.8022790000000004
164	111	9003	9004	1	2.8022790000000004
165	121	9003	9006	0	1.3157400000000001
166	121	9003	9006	1	1.3157400000000001
167	111	9003	9006	0	1.97361
168	111	9003	9006	1	1.97361
169	121	9003	9007	0	1.7285080000000002
170	121	9003	9007	1	1.7285080000000002
171	111	9003	9007	0	2.592762
172	111	9003	9007	1	2.592762
173	121	9003	9008	0	2.83606
174	121	9003	9008	1	2.83606
175	111	9003	9008	0	4.25409
176	111	9003	9008	1	4.25409
177	121	9003	9009	0	1.7171
178	121	9003	9009	1	1.7171
179	111	9003	9009	0	2.57565
180	111	9003	9009	1	2.57565
181	121	9003	9010	0	5.84834
182	121	9003	9010	1	5.84834
183	111	9003	9010	0	8.77251
184	111	9003	9010	1	8.77251
185	121	9003	9011	0	3.3862400000000004
186	121	9003	9011	1	3.3862400000000004
187	111	9003	9011	0	5.07936
188	111	9003	9011	1	5.07936
189	121	9003	9012	0	1.89716
190	121	9003	9012	1	1.89716
191	111	9003	9012	0	2.8457399999999997
192	111	9003	9012	1	2.8457399999999997
193	121	9003	9013	0	2.5245
194	121	9003	9013	1	2.5245
195	111	9003	9013	0	3.78675
196	111	9003	9013	1	3.78675
197	121	9003	9014	0	2.2828399999999998
198	121	9003	9014	1	2.2828399999999998
199	111	9003	9014	0	3.42426
200	111	9003	9014	1	3.42426
201	121	9003	9015	0	2.4663000000000004
202	121	9003	9015	1	2.4663000000000004
203	111	9003	9015	0	3.6994499999999997
204	111	9003	9015	1	3.6994499999999997
205	121	9003	9016	0	4.829440000000001
206	121	9003	9016	1	4.829440000000001
207	111	9003	9016	0	7.24416
208	111	9003	9016	1	7.24416
209	121	9003	9017	0	4.66346
210	121	9003	9017	1	4.66346
211	111	9003	9017	0	6.99519
212	111	9003	9017	1	6.99519
213	121	9003	9022	0	3.28294
214	121	9003	9022	1	3.28294
215	111	9003	9022	0	4.92441
216	111	9003	9022	1	4.92441
217	121	9003	9023	0	2.5243200000000003
218	121	9003	9023	1	2.5243200000000003
219	111	9003	9023	0	3.78648
220	111	9003	9023	1	3.78648
221	121	9004	9001	0	11.60306
222	121	9004	9001	1	11.60306
223	111	9004	9001	0	17.40459
224	111	9004	9001	1	17.40459
225	121	9004	9002	0	2.6595600000000004
226	121	9004	9002	1	2.6595600000000004
227	111	9004	9002	0	3.98934
228	111	9004	9002	1	3.98934
229	121	9004	9003	0	1.922704
230	121	9004	9003	1	1.922704
231	111	9004	9003	0	2.8840559999999997
232	111	9004	9003	1	2.8840559999999997
233	121	9004	9006	0	7.335580000000004
234	121	9004	9006	1	7.335580000000004
235	111	9004	9006	0	11.003370000000004
236	111	9004	9006	1	11.003370000000004
237	121	9004	9007	0	4.49478
238	121	9004	9007	1	4.49478
239	111	9004	9007	0	6.74217
240	111	9004	9007	1	6.74217
241	121	9004	9008	0	8.4923
242	121	9004	9008	1	8.4923
243	111	9004	9008	0	12.73845
244	111	9004	9008	1	12.73845
245	121	9004	9009	0	13.192660000000002
246	121	9004	9009	1	13.192660000000002
247	111	9004	9009	0	19.788990000000002
248	111	9004	9009	1	19.788990000000002
249	121	9004	9010	0	27.025400000000005
250	121	9004	9010	1	27.025400000000005
251	111	9004	9010	0	40.5381
252	111	9004	9010	1	40.5381
253	121	9004	9011	0	16.23292
254	121	9004	9011	1	16.23292
255	111	9004	9011	0	24.349379999999996
256	111	9004	9011	1	24.349379999999996
257	121	9004	9012	0	13.645500000000002
258	121	9004	9012	1	13.645500000000002
259	111	9004	9012	0	20.46825
260	111	9004	9012	1	20.46825
261	121	9004	9013	0	12.92616
262	121	9004	9013	1	12.92616
263	111	9004	9013	0	19.389239999999997
264	111	9004	9013	1	19.389239999999997
265	121	9004	9014	0	6.47008
266	121	9004	9014	1	6.47008
267	111	9004	9014	0	9.705119999999999
268	111	9004	9014	1	9.705119999999999
269	121	9004	9015	0	7.581640000000004
270	121	9004	9015	1	7.581640000000004
271	111	9004	9015	0	11.372460000000004
272	111	9004	9015	1	11.372460000000004
273	121	9004	9016	0	10.819020000000002
274	121	9004	9016	1	10.819020000000002
275	111	9004	9016	0	16.22853
276	111	9004	9016	1	16.22853
277	121	9004	9017	0	9.18338
278	121	9004	9017	1	9.18338
279	111	9004	9017	0	13.77507
280	111	9004	9017	1	13.77507
281	121	9004	9019	0	3.7215400000000005
282	121	9004	9019	1	3.7215400000000005
283	111	9004	9019	0	5.5823100000000005
284	111	9004	9019	1	5.5823100000000005
285	121	9004	9020	0	6.202300000000001
286	121	9004	9020	1	6.202300000000001
287	111	9004	9020	0	9.30345
288	111	9004	9020	1	9.30345
289	121	9004	9021	0	2.8207200000000006
290	121	9004	9021	1	2.8207200000000006
291	111	9004	9021	0	4.23108
292	111	9004	9021	1	4.23108
293	121	9004	9022	0	7.90234
294	121	9004	9022	1	7.90234
295	111	9004	9022	0	11.853509999999998
296	111	9004	9022	1	11.853509999999998
297	121	9004	9023	0	5.5610800000000005
298	121	9004	9023	1	5.5610800000000005
299	111	9004	9023	0	8.341619999999999
300	111	9004	9023	1	8.341619999999999
301	121	9004	9024	0	5.652200000000001
302	121	9004	9024	1	5.652200000000001
303	111	9004	9024	0	8.478299999999999
304	111	9004	9024	1	8.478299999999999
305	121	9005	9010	0	59.086400000000005
306	121	9005	9010	1	59.086400000000005
307	111	9005	9010	0	88.6296
308	111	9005	9010	1	88.6296
309	121	9005	9014	0	23.063800000000008
310	121	9005	9014	1	23.063800000000008
311	111	9005	9014	0	34.59570000000001
312	111	9005	9014	1	34.59570000000001
313	121	9005	9021	0	14.934780000000002
314	121	9005	9021	1	14.934780000000002
315	111	9005	9021	0	22.40217
316	111	9005	9021	1	22.40217
317	121	9006	9001	0	4.07328
318	121	9006	9001	1	4.07328
319	111	9006	9001	0	6.10992
320	111	9006	9001	1	6.10992
321	121	9006	9002	0	1.8622660000000009
322	121	9006	9002	1	1.8622660000000009
323	111	9006	9002	0	2.793399000000001
324	111	9006	9002	1	2.793399000000001
325	121	9006	9003	0	1.346304
326	121	9006	9003	1	1.346304
327	111	9006	9003	0	2.019456
328	111	9006	9003	1	2.019456
329	121	9006	9004	0	6.20138
330	121	9006	9004	1	6.20138
331	111	9006	9004	0	9.30207
332	111	9006	9004	1	9.30207
333	121	9006	9007	0	6.91002
334	121	9006	9007	1	6.91002
335	111	9006	9007	0	10.365029999999999
336	111	9006	9007	1	10.365029999999999
337	121	9006	9008	0	16.96316
338	121	9006	9008	1	16.96316
339	111	9006	9008	0	25.44474
340	111	9006	9008	1	25.44474
341	121	9006	9009	0	5.165220000000001
342	121	9006	9009	1	5.165220000000001
343	111	9006	9009	0	7.7478299999999996
344	111	9006	9009	1	7.7478299999999996
345	121	9006	9010	0	11.411259999999999
346	121	9006	9010	1	11.411259999999999
347	111	9006	9010	0	17.116889999999998
348	111	9006	9010	1	17.116889999999998
349	121	9006	9011	0	6.26196
350	121	9006	9011	1	6.26196
351	111	9006	9011	0	9.39294
352	111	9006	9011	1	9.39294
353	121	9006	9012	0	4.25814
354	121	9006	9012	1	4.25814
355	111	9006	9012	0	6.3872100000000005
356	111	9006	9012	1	6.3872100000000005
357	121	9006	9013	0	4.787660000000001
358	121	9006	9013	1	4.787660000000001
359	111	9006	9013	0	7.18149
360	111	9006	9013	1	7.18149
361	121	9006	9014	0	3.04974
362	121	9006	9014	1	3.04974
363	111	9006	9014	0	4.57461
364	111	9006	9014	1	4.57461
365	121	9006	9015	0	3.5161800000000003
366	121	9006	9015	1	3.5161800000000003
367	111	9006	9015	0	5.27427
368	111	9006	9015	1	5.27427
369	121	9006	9016	0	12.359620000000003
370	121	9006	9016	1	12.359620000000003
371	111	9006	9016	0	18.539430000000003
372	111	9006	9016	1	18.539430000000003
373	121	9006	9017	0	9.040220000000001
374	121	9006	9017	1	9.040220000000001
375	111	9006	9017	0	13.56033
376	111	9006	9017	1	13.56033
377	121	9006	9019	0	2.5869
378	121	9006	9019	1	2.5869
379	111	9006	9019	0	3.88035
380	111	9006	9019	1	3.88035
381	121	9006	9020	0	7.733900000000002
382	121	9006	9020	1	7.733900000000002
383	111	9006	9020	0	11.600850000000001
384	111	9006	9020	1	11.600850000000001
385	121	9006	9021	0	2.170840000000001
386	121	9006	9021	1	2.170840000000001
387	111	9006	9021	0	3.256260000000001
388	111	9006	9021	1	3.256260000000001
389	121	9006	9022	0	4.99856
390	121	9006	9022	1	4.99856
391	111	9006	9022	0	7.497839999999999
392	111	9006	9022	1	7.497839999999999
393	121	9006	9023	0	2.9081200000000003
394	121	9006	9023	1	2.9081200000000003
395	111	9006	9023	0	4.3621799999999995
396	111	9006	9023	1	4.3621799999999995
397	121	9006	9024	0	3.95776
398	121	9006	9024	1	3.95776
399	111	9006	9024	0	5.93664
400	111	9006	9024	1	5.93664
401	121	9007	9001	0	2.9919000000000002
402	121	9007	9001	1	2.9919000000000002
403	111	9007	9001	0	4.48785
404	111	9007	9001	1	4.48785
405	121	9007	9002	0	2.0159
406	121	9007	9002	1	2.0159
407	111	9007	9002	0	3.02385
408	111	9007	9002	1	3.02385
409	121	9007	9003	0	1.4573660000000002
410	121	9007	9003	1	1.4573660000000002
411	111	9007	9003	0	2.186049
412	111	9007	9003	1	2.186049
413	121	9007	9004	0	4.32102
414	121	9007	9004	1	4.32102
415	111	9007	9004	0	6.48153
416	111	9007	9004	1	6.48153
417	121	9007	9006	0	7.5441
418	121	9007	9006	1	7.5441
419	111	9007	9006	0	11.31615
420	111	9007	9006	1	11.31615
421	121	9007	9008	0	35.4634
422	121	9007	9008	1	35.4634
423	111	9007	9008	0	53.195100000000004
424	111	9007	9008	1	53.195100000000004
425	121	9007	9009	0	3.2744999999999997
426	121	9007	9009	1	3.2744999999999997
427	111	9007	9009	0	4.91175
428	111	9007	9009	1	4.91175
429	121	9007	9010	0	13.2045
430	121	9007	9010	1	13.2045
431	111	9007	9010	0	19.806749999999997
432	111	9007	9010	1	19.806749999999997
433	121	9007	9011	0	5.8428200000000015
434	121	9007	9011	1	5.8428200000000015
435	111	9007	9011	0	8.764230000000001
436	111	9007	9011	1	8.764230000000001
437	121	9007	9012	0	3.2487000000000004
438	121	9007	9012	1	3.2487000000000004
439	111	9007	9012	0	4.87305
440	111	9007	9012	1	4.87305
441	121	9007	9013	0	3.67042
442	121	9007	9013	1	3.67042
443	111	9007	9013	0	5.50563
444	111	9007	9013	1	5.50563
445	121	9007	9014	0	3.637500000000001
446	121	9007	9014	1	3.637500000000001
447	111	9007	9014	0	5.456250000000001
448	111	9007	9014	1	5.456250000000001
449	121	9007	9015	0	6.19664
450	121	9007	9015	1	6.19664
451	111	9007	9015	0	9.29496
452	111	9007	9015	1	9.29496
453	121	9007	9016	0	37.6568
454	121	9007	9016	1	37.6568
455	111	9007	9016	0	56.4852
456	111	9007	9016	1	56.4852
457	121	9007	9017	0	19.0652
458	121	9007	9017	1	19.0652
459	111	9007	9017	0	28.597799999999996
460	111	9007	9017	1	28.597799999999996
461	121	9007	9019	0	4.75338
462	121	9007	9019	1	4.75338
463	111	9007	9019	0	7.13007
464	111	9007	9019	1	7.13007
465	121	9007	9020	0	22.1678
466	121	9007	9020	1	22.1678
467	111	9007	9020	0	33.2517
468	111	9007	9020	1	33.2517
469	121	9007	9021	0	3.55242
470	121	9007	9021	1	3.55242
471	111	9007	9021	0	5.3286299999999995
472	111	9007	9021	1	5.3286299999999995
473	121	9007	9022	0	8.89874
474	121	9007	9022	1	8.89874
475	111	9007	9022	0	13.348109999999998
476	111	9007	9022	1	13.348109999999998
477	121	9007	9023	0	4.546880000000001
478	121	9007	9023	1	4.546880000000001
479	111	9007	9023	0	6.82032
480	111	9007	9023	1	6.82032
481	121	9008	9001	0	5.380360000000001
482	121	9008	9001	1	5.380360000000001
483	111	9008	9001	0	8.070540000000001
484	111	9008	9001	1	8.070540000000001
485	121	9008	9002	0	3.0824
486	121	9008	9002	1	3.0824
487	111	9008	9002	0	4.6236
488	111	9008	9002	1	4.6236
489	121	9008	9003	0	2.2283800000000005
490	121	9008	9003	1	2.2283800000000005
491	111	9008	9003	0	3.3425700000000003
492	111	9008	9003	1	3.3425700000000003
493	121	9008	9004	0	8.82042
494	121	9008	9004	1	8.82042
495	111	9008	9004	0	13.23063
496	111	9008	9004	1	13.23063
497	121	9008	9005	0	21.125600000000002
498	121	9008	9005	1	21.125600000000002
499	111	9008	9005	0	31.688399999999998
500	111	9008	9005	1	31.688399999999998
501	121	9008	9006	0	21.3082
502	121	9008	9006	1	21.3082
503	111	9008	9006	0	31.9623
504	111	9008	9006	1	31.9623
505	121	9008	9007	0	31.682400000000015
506	121	9008	9007	1	31.682400000000015
507	111	9008	9007	0	47.523600000000016
508	111	9008	9007	1	47.523600000000016
509	121	9008	9009	0	6.46902
510	121	9008	9009	1	6.46902
511	111	9008	9009	0	9.70353
512	111	9008	9009	1	9.70353
513	121	9008	9010	0	21.1018
514	121	9008	9010	1	21.1018
515	111	9008	9010	0	31.6527
516	111	9008	9010	1	31.6527
517	121	9008	9011	0	8.869480000000001
518	121	9008	9011	1	8.869480000000001
519	111	9008	9011	0	13.304219999999999
520	111	9008	9011	1	13.304219999999999
521	121	9008	9012	0	5.713799999999999
522	121	9008	9012	1	5.713799999999999
523	111	9008	9012	0	8.570699999999999
524	111	9008	9012	1	8.570699999999999
525	121	9008	9013	0	6.65766
526	121	9008	9013	1	6.65766
527	111	9008	9013	0	9.98649
528	111	9008	9013	1	9.98649
529	121	9008	9014	0	4.8994800000000005
530	121	9008	9014	1	4.8994800000000005
531	111	9008	9014	0	7.349219999999999
532	111	9008	9014	1	7.349219999999999
533	121	9008	9015	0	7.847440000000002
534	121	9008	9015	1	7.847440000000002
535	111	9008	9015	0	11.771160000000002
536	111	9008	9015	1	11.771160000000002
537	121	9008	9016	0	34.5416
538	121	9008	9016	1	34.5416
539	111	9008	9016	0	51.8124
540	111	9008	9016	1	51.8124
541	121	9008	9017	0	22.030600000000007
542	121	9008	9017	1	22.030600000000007
543	111	9008	9017	0	33.0459
544	111	9008	9017	1	33.0459
545	121	9008	9019	0	5.868680000000001
546	121	9008	9019	1	5.868680000000001
547	111	9008	9019	0	8.80302
548	111	9008	9019	1	8.80302
549	121	9008	9020	0	21.224400000000003
550	121	9008	9020	1	21.224400000000003
551	111	9008	9020	0	31.836599999999997
552	111	9008	9020	1	31.836599999999997
553	121	9008	9021	0	4.54136
554	121	9008	9021	1	4.54136
555	111	9008	9021	0	6.8120400000000005
556	111	9008	9021	1	6.8120400000000005
557	121	9008	9022	0	11.130780000000001
558	121	9008	9022	1	11.130780000000001
559	111	9008	9022	0	16.69617
560	111	9008	9022	1	16.69617
561	121	9008	9023	0	6.085460000000001
562	121	9008	9023	1	6.085460000000001
563	111	9008	9023	0	9.12819
564	111	9008	9023	1	9.12819
565	121	9008	9024	0	6.550820000000001
566	121	9008	9024	1	6.550820000000001
567	111	9008	9024	0	9.82623
568	111	9008	9024	1	9.82623
569	121	9009	9001	0	6.404600000000001
570	121	9009	9001	1	6.404600000000001
571	111	9009	9001	0	9.606900000000001
572	111	9009	9001	1	9.606900000000001
573	121	9009	9002	0	2.8070200000000005
574	121	9009	9002	1	2.8070200000000005
575	111	9009	9002	0	4.21053
576	111	9009	9002	1	4.21053
577	121	9009	9003	0	2.0293
578	121	9009	9003	1	2.0293
579	111	9009	9003	0	3.0439499999999997
580	111	9009	9003	1	3.0439499999999997
581	121	9009	9004	0	15.365160000000001
582	121	9009	9004	1	15.365160000000001
583	111	9009	9004	0	23.04774
584	111	9009	9004	1	23.04774
585	121	9009	9006	0	5.399760000000001
586	121	9009	9006	1	5.399760000000001
587	111	9009	9006	0	8.099639999999999
588	111	9009	9006	1	8.099639999999999
589	121	9009	9007	0	5.134720000000001
590	121	9009	9007	1	5.134720000000001
591	111	9009	9007	0	7.70208
592	111	9009	9007	1	7.70208
593	121	9009	9008	0	9.06108
594	121	9009	9008	1	9.06108
595	111	9009	9008	0	13.591619999999999
596	111	9009	9008	1	13.591619999999999
597	121	9009	9010	0	80.1598
598	121	9009	9010	1	80.1598
599	111	9009	9010	0	120.23969999999998
600	111	9009	9010	1	120.23969999999998
601	121	9009	9011	0	20.384600000000002
602	121	9009	9011	1	20.384600000000002
603	111	9009	9011	0	30.5769
604	111	9009	9011	1	30.5769
605	121	9009	9012	0	7.499140000000001
606	121	9009	9012	1	7.499140000000001
607	111	9009	9012	0	11.248709999999999
608	111	9009	9012	1	11.248709999999999
609	121	9009	9013	0	8.22494
610	121	9009	9013	1	8.22494
611	111	9009	9013	0	12.337409999999998
612	111	9009	9013	1	12.337409999999998
613	121	9009	9014	0	7.344840000000001
614	121	9009	9014	1	7.344840000000001
615	111	9009	9014	0	11.01726
616	111	9009	9014	1	11.01726
617	121	9009	9015	0	14.39648
618	121	9009	9015	1	14.39648
619	111	9009	9015	0	21.59472
620	111	9009	9015	1	21.59472
621	121	9009	9016	0	17.199800000000003
622	121	9009	9016	1	17.199800000000003
623	111	9009	9016	0	25.7997
624	111	9009	9016	1	25.7997
625	121	9009	9017	0	13.72474
626	121	9009	9017	1	13.72474
627	111	9009	9017	0	20.58711
628	111	9009	9017	1	20.58711
629	121	9009	9019	0	6.7884
630	121	9009	9019	1	6.7884
631	111	9009	9019	0	10.182599999999999
632	111	9009	9019	1	10.182599999999999
633	121	9009	9020	0	7.9572600000000016
634	121	9009	9020	1	7.9572600000000016
635	111	9009	9020	0	11.93589
636	111	9009	9020	1	11.93589
637	121	9009	9021	0	4.4525
638	121	9009	9021	1	4.4525
639	111	9009	9021	0	6.67875
640	111	9009	9021	1	6.67875
641	121	9009	9022	0	12.636020000000002
642	121	9009	9022	1	12.636020000000002
643	111	9009	9022	0	18.95403
644	111	9009	9022	1	18.95403
645	121	9009	9023	0	6.195920000000001
646	121	9009	9023	1	6.195920000000001
647	111	9009	9023	0	9.29388
648	111	9009	9023	1	9.29388
649	121	9009	9024	0	5.9656
650	121	9009	9024	1	5.9656
651	111	9009	9024	0	8.9484
652	111	9009	9024	1	8.9484
653	121	9010	9001	0	15.68036
654	121	9010	9001	1	15.68036
655	111	9010	9001	0	23.520539999999997
656	111	9010	9001	1	23.520539999999997
657	121	9010	9002	0	8.32418
658	121	9010	9002	1	8.32418
659	111	9010	9002	0	12.48627
660	111	9010	9002	1	12.48627
661	121	9010	9003	0	6.017880000000002
662	121	9010	9003	1	6.017880000000002
663	111	9010	9003	0	9.02682
664	111	9010	9003	1	9.02682
665	121	9010	9004	0	31.987400000000004
666	121	9010	9004	1	31.987400000000004
667	111	9010	9004	0	47.981100000000005
668	111	9010	9004	1	47.981100000000005
669	121	9010	9005	0	57.051199999999994
670	121	9010	9005	1	57.051199999999994
671	111	9010	9005	0	85.57679999999999
672	111	9010	9005	1	85.57679999999999
673	121	9010	9006	0	10.684840000000001
674	121	9010	9006	1	10.684840000000001
675	111	9010	9006	0	16.02726
676	111	9010	9006	1	16.02726
677	121	9010	9007	0	9.70486
678	121	9010	9007	1	9.70486
679	111	9010	9007	0	14.557289999999998
680	111	9010	9007	1	14.557289999999998
681	121	9010	9008	0	15.54202
682	121	9010	9008	1	15.54202
683	111	9010	9008	0	23.313029999999998
684	111	9010	9008	1	23.313029999999998
685	121	9010	9009	0	98.4094
686	121	9010	9009	1	98.4094
687	111	9010	9009	0	147.6141
688	111	9010	9009	1	147.6141
689	121	9010	9011	0	98.0412
690	121	9010	9011	1	98.0412
691	111	9010	9011	0	147.0618
692	111	9010	9011	1	147.0618
693	121	9010	9012	0	18.838800000000003
694	121	9010	9012	1	18.838800000000003
695	111	9010	9012	0	28.2582
696	111	9010	9012	1	28.2582
697	121	9010	9013	0	21.210800000000003
698	121	9010	9013	1	21.210800000000003
699	111	9010	9013	0	31.8162
700	111	9010	9013	1	31.8162
701	121	9010	9014	0	28.236800000000002
702	121	9010	9014	1	28.236800000000002
703	111	9010	9014	0	42.355199999999996
704	111	9010	9014	1	42.355199999999996
705	121	9010	9015	0	73.1226
706	121	9010	9015	1	73.1226
707	111	9010	9015	0	109.6839
708	111	9010	9015	1	109.6839
709	121	9010	9016	0	33.5652
710	121	9010	9016	1	33.5652
711	111	9010	9016	0	50.3478
712	111	9010	9016	1	50.3478
713	121	9010	9017	0	46.12440000000001
714	121	9010	9017	1	46.12440000000001
715	111	9010	9017	0	69.1866
716	111	9010	9017	1	69.1866
717	121	9010	9019	0	24.568800000000003
718	121	9010	9019	1	24.568800000000003
719	111	9010	9019	0	36.8532
720	111	9010	9019	1	36.8532
721	121	9010	9020	0	18.963900000000002
722	121	9010	9020	1	18.963900000000002
723	111	9010	9020	0	28.44585
724	111	9010	9020	1	28.44585
725	121	9010	9021	0	16.893780000000003
726	121	9010	9021	1	16.893780000000003
727	111	9010	9021	0	25.34067
728	111	9010	9021	1	25.34067
729	121	9010	9022	0	49.894000000000005
730	121	9010	9022	1	49.894000000000005
731	111	9010	9022	0	74.841
732	111	9010	9022	1	74.841
733	121	9010	9023	0	22.626200000000004
734	121	9010	9023	1	22.626200000000004
735	111	9010	9023	0	33.9393
736	111	9010	9023	1	33.9393
737	121	9010	9024	0	17.690860000000008
738	121	9010	9024	1	17.690860000000008
739	111	9010	9024	0	26.536290000000008
740	111	9010	9024	1	26.536290000000008
741	121	9011	9001	0	8.82178
742	121	9011	9001	1	8.82178
743	111	9011	9001	0	13.232669999999999
744	111	9011	9001	1	13.232669999999999
745	121	9011	9002	0	5.0326
746	121	9011	9002	1	5.0326
747	111	9011	9002	0	7.5489
748	111	9011	9002	1	7.5489
749	121	9011	9003	0	3.6382600000000007
750	121	9011	9003	1	3.6382600000000007
751	111	9011	9003	0	5.45739
