source	dest	time
5551	225551	6.0
5553	225553	6.0
5659	225659	0.0
5709	225709	0.0
5710	225710	0.0
5762	225762	0.0
5763	225763	0.0
5772	225772	0.0
5780	225780	0.0
6234	226234	6.0
6307	226307	6.0
6359	226359	6.0
6364	226364	6.0
6376	226376	0.0
6398	226398	0.0
6399	226399	6.0
11229	231229	6.0
11483	231483	6.0
11536	231536	0.0
11786	231786	6.0
12672	232672	0.0
13094	233094	0.0
13096	233096	6.0
13099	233099	6.0
13115	233115	0.0
13116	233116	0.0
125469	5469	6.040632054176072
125545	5545	7.2020905923344944
125551	5551	6.040677966101695
125553	5553	1550.4866920152092
125659	5659	0.0
125709	5709	0.0
125710	5710	0.0
125762	5762	0.0
125763	5763	0.0
125772	5772	0.0
125780	5780	0.0
126234	6234	6.06949806949807
126307	6307	6.0
126359	6359	6.021660649819495
126364	6364	143.0185185185185
126376	6376	0.0
126398	6398	0.0
126399	6399	6.0
131229	11229	6.276923076923077
131483	11483	6.0
131536	11536	6.009966777408638
131786	11786	0.0
132672	12672	0.0
133094	13094	0.0
133096	13096	6.338709677419355
133099	13099	6.2560975609756095
133115	13115	0.0
133116	13116	0.0
5761	225761	0.0
125761	5761	0.0
133122	13122	0.0
13122	233122	6.0
5778	233192	0.0
133192	5778	0.0
125669	5669	17.22
125682	5682	6.039344262295082
125694	5694	6.0
126384	6384	6.015915119363395
126386	6386	6.672794117647059
126392	6392	0.0
129912	9912	6.123287671232877
130479	10479	7.694915254237288
130584	10584	6.0
130616	10616	6.107142857142857
130631	10631	6.0
131027	11027	7.186046511627907
131551	11551	6.184615384615385
132077	12077	6.0
132097	12097	6.121212121212121
133129	13129	6.0
5669	225669	6.0
5682	225682	0.0
5694	225694	0.0
6384	226384	0.0
6386	226386	6.0
6392	226392	0.0
9912	229912	0.0
10479	230479	6.0
10584	230584	6.0
10616	230616	6.0
10631	230631	6.0
11027	231027	6.0
11551	231551	6.0
12077	232077	6.0
12097	232097	6.0
13129	233129	0.0
5673	225673	6.0
125673	5673	0.0
5698	225698	6.0
125698	5698	0.0
6393	226393	6.0
126393	6393	0.0
9913	229913	6.0
129913	9913	0.0
10615	230615	6.0
11791	231791	6.0
131791	11791	0.0
130615	10615	6.0
133118	233193	0.0
233193	233118	0.0
13042	13061	19.714285714285715
13061	13044	19.57894736842105
13044	13048	18.41860465116279
13048	13053	12.0
13052	13059	12.0
13059	13058	12.0
13058	13057	12.0
13052	13057	12.0
13123	13122	18.095238095238095
13122	12044	18.1875
13053	13041	18.0
13057	13051	12.0
5680	10584	18.0
13112	11031	18.0
13115	13112	18.0
13111	5582	18.666666666666668
13110	13111	20.571428571428573
13109	13110	22.285714285714285
11382	13035	18.0
13108	13132	18.82191780821918
5107	13034	18.514285714285716
13031	13030	24.0
13030	5760	18.0
5760	13029	19.09090909090909
13029	11082	18.545454545454547
13023	13028	18.0
13026	13025	20.666666666666668
13024	11081	18.0
13028	13022	21.0
13095	13096	72.0
13095	6188	26.58823529411765
13094	5729	25.5
11504	11637	18.0
13084	13091	30.26865671641791
13017	5722	18.0
6175	12137	19.0
6175	12136	18.0
6184	12135	12.0
5571	5570	18.0
12266	13198	18.0
5581	13089	12.0
13088	5581	12.0
13086	13087	19.0
10602	13086	18.0
5586	13154	18.0
5584	13083	12.0
13082	5584	18.0
13081	13082	20.571428571428573
13080	13081	18.94736842105263
13073	13163	18.0
10459	10461	18.0
10460	11384	18.0
6307	11637	18.0
6318	12036	18.1875
11229	13123	18.184615384615384
13068	13067	18.0
13067	13155	18.0
6334	6340	25.363636363636363
13066	13068	18.0
13065	13066	22.574257425742573
13046	13065	21.391304347826086
5582	13111	19.73913043478261
13050	13046	19.263157894736842
13111	13110	20.103896103896105
13056	13050	19.5
13064	13056	20.4
13110	13109	18.0
13026	13157	18.0
13132	13108	18.545454545454547
5220	13158	18.0
13108	13107	20.192307692307693
13045	13159	18.0
6145	12136	18.0
13049	13045	18.0
13107	13106	18.0
6305	13104	21.6
13054	13049	18.0
10461	11642	18.0
13063	13054	18.0
13105	13104	30.63716814159292
13061	13042	18.6
13194	13103	18.11464968152866
13044	13061	20.0
13048	13044	18.0
13053	13048	18.0
13060	13053	12.0
13176	6145	18.0
13059	13052	12.0
13058	13059	12.0
13057	13058	18.0
13057	13052	12.0
13096	13095	88.28571428571429
6188	13095	33.44881889763779
5729	13094	18.0
13051	13057	12.0
13050	13051	18.0
5722	12261	24.0
12261	5730	30.0
13168	13034	18.0
10584	5680	18.0
13046	13047	18.0
12022	12044	18.0
6357	12043	25.565217391304348
13163	13199	18.0
5745	10611	19.95
12043	12036	18.0
13089	5581	12.0
13088	13087	18.31578947368421
13159	5220	22.90909090909091
13087	13086	18.0
13158	13043	19.5
6334	6305	30.31578947368421
13157	5431	18.0
5214	10610	18.0
13154	5586	21.0
13083	5584	18.0
5584	13082	19.170731707317074
13155	5586	19.024390243902438
13082	13081	18.4390243902439
13035	13036	18.0
6319	12022	18.0
10611	10777	18.0
13034	5107	18.0
6356	11504	18.0
13032	6337	18.0
13076	5431	18.0
13031	13170	18.0
6348	13198	18.0
5760	13030	19.081967213114755
13029	5760	19.914893617021278
13028	13023	18.244897959183675
6183	12135	12.0
13024	13025	20.142857142857142
11081	13024	18.0
10457	5750	19.58823529411765
13047	13057	18.0
13022	13028	18.529411764705884
11637	6307	18.0
12036	6318	21.0
13123	11229	18.0
13067	13068	12.0
6174	12137	18.0
13016	5789	18.46153846153846
13155	13067	12.0
6340	6334	24.0
13068	13066	12.0
13066	13065	24.0
11384	10490	18.0
13065	13046	20.962025316455698
13046	13050	19.016949152542374
11637	11504	18.0
13050	13056	20.125
13026	13043	18.0
13158	5220	19.8
13159	13045	12.0
12136	6145	20.4
13045	13049	18.0
13104	6305	12.0
13049	13054	18.0
12669	13133	18.0
13054	13063	12.0
5725	13016	18.136363636363637
13132	13109	18.0
13015	5725	18.0
13013	13015	18.23076923076923
10488	13131	18.0
13025	13042	18.0
12135	6184	12.0
5570	5571	18.0
11642	13013	18.0
6145	13176	18.0
13032	13170	18.0
13034	13168	18.0
5745	5750	19.333333333333332
12266	6339	18.818181818181817
5220	13159	18.4390243902439
13043	13158	18.0
6305	6334	30.6
5431	13157	18.0
13039	6332	19.05
5586	13155	18.146341463414632
13131	12669	18.0
13084	13154	18.0
10489	10491	18.0
10491	10488	18.0
13133	5414	18.0
10490	13162	18.0
10487	13083	30.0
10601	5570	18.23076923076923
12261	5722	24.0
5570	10601	18.0
5730	12261	30.0
12044	12022	18.0
12043	6357	30.545454545454547
13109	13132	18.0
12036	12043	18.0
11044	13176	18.0
13122	13123	18.0
12044	13122	18.0
12022	6319	18.666666666666668
10777	10611	21.363636363636363
10778	10777	19.875
11504	6356	18.82758620689655
13199	5471	18.0
13106	11384	18.0
5106	13168	18.5
13198	13196	18.0
13195	13198	18.166666666666668
11030	5730	18.0
13195	6336	25.5
13103	6335	18.055555555555557
6144	13178	18.0
6144	6145	24.0
13102	13177	18.0
13012	13016	18.0
5752	5714	18.0
6144	13175	18.0
11086	11966	18.0
5732	13012	18.0
5739	5752	18.0
13010	5723	18.0
6351	13055	18.0
5178	6191	21.0
5431	5212	18.25
11084	6351	18.0
13118	13119	24.0
13055	6350	18.0
10610	13167	18.0
5573	12736	18.034285714285716
11086	6230	22.105263157894736
11532	13166	18.0
11084	6191	18.473684210526315
5714	12734	18.0
11085	6144	18.1875
13167	13037	18.0
5586	5212	18.0
10486	5212	18.20689655172414
5214	13033	18.0
10457	5739	18.0
5465	5589	12.0
5178	13069	18.0
5431	13153	18.0
5589	13151	12.0
5654	5655	12.0
12064	6320	18.352941176470587
13106	5744	18.6
6319	6318	18.116504854368934
11484	5586	18.214285714285715
13028	11080	18.0
5215	5733	18.0
13103	6333	18.0
5757	11080	18.0
11044	13101	38.57142857142857
13102	13178	12.0
10487	5582	22.0
12064	13180	18.0
5782	5711	19.02928870292887
12061	12065	12.0
5583	5582	19.788990825688074
12734	5713	18.0
10488	13109	18.157894736842106
10487	10778	20.78980891719745
5713	13020	18.0
5733	5782	24.08695652173913
11532	11531	18.0
13091	5135	18.82191780821918
11531	5212	18.5
5576	5465	18.49586776859504
13085	12149	31.724137931034484
13072	5455	18.976744186046513
13021	13147	18.0
6145	6144	24.0
6319	6361	18.0
5135	11483	24.0
5212	5431	18.193548387096776
13119	13118	30.56756756756757
10778	5584	18.584415584415584
13018	5726	18.0
6234	6230	266.0617760617761
12671	5728	18.052325581395348
6230	11086	18.0
6174	11085	18.0
5728	5718	18.0
6191	11084	18.285714285714285
13016	5712	18.0
12061	13180	18.0
6361	6362	30.0
13175	6333	18.0
13153	13062	18.0
6145	11966	24.0
6318	6356	24.073170731707318
5712	5727	18.0
13069	13166	18.0
6356	6328	21.861386138613863
11484	13091	18.857142857142858
5455	12671	18.070038910505836
5757	13062	12.0
6354	13038	18.05504587155963
13069	5178	12.0
13037	5210	18.0
6230	6234	30.0
10602	12736	24.0
5655	5654	12.0
13180	12061	12.0
6333	13175	18.0
13062	13153	18.0
6335	13103	18.0
5723	5717	18.0
6333	13103	18.0
6183	13177	18.0
6183	12065	18.0
13175	6144	18.214285714285715
13180	12064	18.0
11966	11086	18.0
5789	5784	18.244897959183675
12065	12061	18.0
5717	13136	18.0
13055	6351	18.0
6191	5178	18.0
6351	11084	18.0
11533	5211	18.243243243243242
6350	13055	18.428571428571427
12736	5573	22.285714285714285
13166	11532	18.0
11531	11532	18.0
5135	13091	18.815533980582526
5212	11531	18.0
13077	13071	18.08955223880597
13071	5756	18.328767123287673
6361	6319	18.17391304347826
11483	5135	26.043956043956044
6144	11085	18.0
13038	5214	18.0
5212	5586	18.413793103448278
5589	5465	18.0
5588	13151	18.0
13153	5431	12.0
13151	5589	18.0
13033	5215	18.10169491525424
6320	12064	18.0
6318	6319	18.244897959183675
6362	6361	30.08823529411765
5586	11484	18.0
11080	13028	19.5
13147	5756	19.09090909090909
11966	6145	24.0
11080	5757	18.0
13146	13021	18.0
5576	5585	19.714285714285715
5728	13018	18.0
5584	5585	18.048
5727	13010	18.0
13145	13020	18.0
6356	6318	24.18
5713	5727	18.0
5211	10610	18.0
13166	13069	12.0
5582	5583	22.0
6328	6356	18.05607476635514
13091	11484	18.0
12282	13146	18.0
5718	5713	18.02238805970149
13020	5715	18.09036144578313
5759	12282	18.0
5711	5712	18.0
13020	5759	18.0
5712	13145	18.0
13062	5757	18.0
13136	5731	18.0
5220	13061	18.22641509433962
13019	5471	18.0
6362	11713	18.0
6347	13060	18.0
13128	6378	20.3855421686747
13125	13126	64.61538461538461
13173	13100	18.10169491525424
13126	11121	18.154241645244216
13125	13124	18.0
11866	11756	18.774193548387096
13124	11272	18.0
13119	13128	18.072727272727274
5574	12737	18.0
5188	13040	18.0
13095	6167	42.89156626506024
13111	5453	18.0
13110	12669	18.0
11605	5135	19.255230125523013
5544	5574	18.794520547945204
13156	6191	19.42241379310345
13105	13181	18.0
12737	5573	18.684931506849313
11299	5198	18.01699716713881
13101	6230	45.7344398340249
13098	5135	18.79787234042553
5414	13111	18.22222222222222
5572	13500	74.52219321148826
6167	13096	24.0
5553	5577	742.3185840707964
13184	6169	18.023166023166024
5573	12149	26.442857142857143
5545	5572	224.3767605633803
12010	6166	18.0
6169	11121	18.34375
11866	5579	18.546728971962615
5577	5544	68.01941747572816
11274	6336	18.173076923076923
11273	6341	18.0
11272	11713	18.0
5756	5455	18.22222222222222
13064	6146	18.0
11770	13081	18.0
5770	13009	19.5
12149	11605	18.05020920502092
11081	11082	18.135849056603774
11080	11081	18.021505376344088
6188	13101	24.484304932735427
5753	11080	18.0
6147	6236	18.6
10611	5749	18.027397260273972
13156	13065	18.344827586206897
6232	5208	18.25531914893617
6236	6231	22.571428571428573
6231	10607	18.271604938271604
10609	13169	18.0
10607	6232	24.276150627615063
13119	6399	18.0
10606	6147	18.0
5780	5674	18.0
5551	12668	113.36949152542373
13064	10606	18.0
5151	5189	18.03342618384401
13098	5208	18.169014084507044
6311	6315	18.0
6230	6231	37.18867924528302
5709	5691	18.576923076923077
5197	12078	18.0
13063	13196	12.0
11299	5197	23.53846153846154
5143	5205	18.0
5211	5778	22.071428571428573
5215	5211	18.0
5205	6386	18.0
13061	5220	18.304347826086957
13035	5188	18.0
5732	5779	20.790697674418606
11713	6362	18.05687203791469
13060	6347	18.0
13100	13173	18.0
6167	12060	18.0
5779	5773	27.416666666666668
6322	6311	30.0
12737	5574	18.027027027027028
11501	6378	18.0
13500	11756	48.723404255319146
5778	5198	18.0
5773	5777	18.0
12735	12671	18.0554272517321
13041	6345	18.0
5766	5669	24.0
5764	5771	18.0
5771	5716	18.0
5716	5770	18.0
13009	5724	18.322580645161292
6167	13095	45.73056994818653
13036	5151	18.0
11502	11509	18.0
6304	6362	18.441176470588236
6166	6320	18.071428571428573
13125	6359	18.0
5135	11605	18.288770053475936
10777	5414	18.0
6320	6304	18.0
6315	11502	18.0
5574	5544	26.84375
11509	11501	18.0
6191	13156	18.0
13126	6364	18.0
11031	5764	18.0
13183	12010	18.0
6350	13196	12.0
5573	12737	18.0
5729	11031	18.0
13160	5760	19.401869158878505
5757	5755	18.38532110091743
5760	5107	18.094637223974765
5780	5778	75.93353474320242
5777	5778	23.294117647058822
13024	13165	18.0
13021	5753	18.018461538461537
13500	5572	31.288590604026847
13171	5197	25.714285714285715
5577	5553	60.0
6169	13184	18.095617529880478
12149	5573	18.103896103896105
5572	5545	36.0
6166	12010	18.0
10609	6354	18.176470588235293
10606	13064	18.50602409638554
6167	13184	18.042857142857144
11121	6169	18.031088082901555
6354	5210	18.0
12060	13183	18.0
6231	6230	57.485915492957744
5579	11866	19.11111111111111
5544	5577	30.844660194174757
13100	6341	18.0
6305	13181	18.0
13196	13063	18.0
5454	10777	18.486486486486488
11273	13179	18.0
11082	5189	18.0
6146	13064	12.0
13179	6305	18.0
13174	6336	18.157894736842106
6346	6339	18.08
6349	6337	18.0
13040	6349	18.03314917127072
6339	13174	18.0
13063	6347	18.0
6335	13173	18.0
6146	6350	12.0
13060	13172	18.0
13009	5770	18.0
5210	13171	18.0
6191	5220	18.53549695740365
11605	12149	24.42162162162162
6332	13169	18.0
13061	5151	18.0
6346	6349	18.0
13172	6346	18.0
6337	6332	18.782608695652176
5107	13161	18.019292604501608
5189	13160	18.0
11274	6335	18.0
12671	13021	18.0
12670	12735	18.0
6399	13119	18.07185628742515
10782	12670	18.0
12669	10611	18.51270207852194
5674	5780	18.0
5452	13110	18.85279187817259
12668	5452	171.5681818181818
12668	5551	24.0
5189	5151	18.050847457627118
5208	13098	22.658227848101266
6315	6311	18.13953488372093
12078	6322	18.0
5691	5709	18.0
12078	5197	29.643835616438356
5197	11299	18.067605633802817
5205	5143	50.32051282051282
5724	5732	18.382978723404257
5778	5211	18.038216560509554
5211	5215	18.028103044496486
6386	5205	20.674033149171272
5654	5729	18.22222222222222
5779	5732	18.25
13161	5215	18.076923076923077
5197	5143	18.3
13105	6304	18.17142857142857
12060	6167	20.68421052631579
5453	12668	18.0
5773	5779	20.5
6311	6322	30.0
5189	11382	18.0
6378	11501	18.0
11756	13500	52.5
5198	5778	23.261083743842363
5777	5773	22.436974789915965
5151	5152	18.0
5669	5766	63.11036789297659
5771	5764	18.0
5716	5771	18.09090909090909
6378	13128	18.0
13126	13125	36.348837209302324
11121	13126	22.6984126984127
5749	10782	18.011385199240987
13124	13125	18.08955223880597
5770	5716	18.0
5724	13009	18.0
11756	11866	18.700934579439252
11272	13124	18.0
11509	11502	18.0
6362	6304	18.0
6320	6166	18.0
6359	13125	19.104693140794225
13128	13119	18.0
6304	6320	18.0
11502	6315	18.0
11501	11509	18.0
6364	13126	190.72784810126583
5764	11031	18.0
12010	13183	18.0
13196	6350	18.0
11031	5729	18.0
5760	13160	18.0
5107	5760	18.514285714285716
5778	5780	24.0
5778	5777	18.0
5197	13171	18.0
5152	13024	18.066666666666666
6354	10609	18.0
13184	6167	20.442477876106196
5455	13019	18.0
5210	6354	18.10041841004184
13183	12060	18.0
6341	13100	18.40909090909091
13181	6305	18.166666666666668
5755	13152	18.0
13181	13105	18.0
13179	11273	18.0
6305	13179	18.0
5198	11299	18.116504854368934
6336	13174	18.0
6339	6346	18.0
6230	13101	18.16216216216216
6337	6349	18.0
13174	6339	18.294117647058822
6347	13063	12.0
5135	13098	20.623655913978496
13173	6335	18.0
6350	6146	18.0
13172	13060	18.0
13171	5210	18.0
13096	6167	37.74545454545454
5220	6191	18.093023255813954
13169	6332	18.115384615384617
5151	13061	18.0
6345	13036	18.0
6349	6346	18.0
5464	13150	18.0
6346	13172	18.0
13165	5757	18.0
6346	13041	18.0
6336	11274	18.0
6341	11273	18.0
11713	11272	18.0
6332	6337	18.0
13161	5107	18.173410404624278
13160	5189	18.0
6335	11274	18.0
13152	5756	18.4390243902439
6322	12078	18.0
13150	5454	18.0
5732	5724	18.25
13101	6188	24.480916030534353
5729	5654	22.0
6236	6147	18.0
13065	13156	18.024489795918367
5471	5464	18.0
5208	6232	18.229965156794425
6231	6236	18.12
5215	13161	18.0
5143	5197	141.42352941176472
10607	6231	18.8719723183391
6304	13105	18.091836734693878
13169	10609	18.0
6232	10607	24.082474226804123
6147	10606	18.0
9914	9915	18.0
5142	5141	18.0
5141	6393	72.0
6393	9912	12.0
5682	5681	21.37864077669903
5673	5682	12.0
5142	6397	18.0
6397	9914	18.72222222222222
5687	5142	18.0
5721	5720	18.038772213247174
6374	6389	18.0
12997	5200	18.0
5672	5673	24.0
9910	5199	18.0
5681	5769	18.015463917525775
3427	5672	18.0
6384	6379	18.01566579634465
3426	3427	18.2561797752809
5783	5781	18.0
5200	5783	18.16759776536313
6379	6374	18.0
5769	5721	18.0
5787	5776	18.0
5734	5735	18.0
9912	9910	247.7568493150685
5776	5689	18.0
5720	5787	18.054794520547944
5199	12997	18.0
5735	3426	18.0
5781	5734	18.06509945750452
6389	5199	18.0
5689	5687	18.0
9915	9913	18.0
9913	6384	18.0
13118	11791	18.782608695652176
11791	13118	12.0
233193	13118	12.0
6379	6377	18.0
10617	12674	18.0
9911	5144	54.67391304347826
5144	12138	18.0
5674	5206	18.0
9911	6395	18.0
9910	9911	18.0
5785	5674	18.0
6397	6391	18.0
6391	6387	19.2
13118	6377	12.0
5684	5786	18.0
6394	6396	18.0
5657	5656	18.236842105263158
5691	5684	18.0
5206	6396	42.0
12168	5205	18.0
6396	5141	18.0
6394	6392	18.0
5766	5767	19.85667752442997
5143	5144	21.209726443768997
6398	6373	18.0
9914	6371	19.52238805970149
12673	12674	18.0
5786	5689	24.0
13116	5710	12.0
5769	5767	44.82119205298013
12169	6371	19.74757281553398
13115	12566	12.0
6392	6391	18.181818181818183
5780	12642	18.0
5763	5768	18.0
5709	13116	18.0
3427	5658	18.0
5787	5785	18.0
10631	5785	18.0
5768	13115	18.0
10261	6376	24.6
5680	12565	18.0
5577	5572	27.076923076923077
5659	5708	18.0
5577	13500	30.688524590163933
5658	5659	18.0
5768	5686	18.0
5708	5673	18.0
6390	6395	18.428571428571427
5708	5698	18.0
5698	5694	12.0
5775	5772	18.543478260869566
6387	12169	18.0
5762	3426	18.10909090909091
5206	12168	18.0
6395	5143	21.071770334928228
5662	5720	18.142857142857142
12674	5662	18.0
5686	5766	18.0
5786	10631	18.0
6376	6390	18.0
5762	5763	18.0
18630	5657	18.075949367088608
5783	5775	18.273858921161825
6389	6390	18.0
5662	5691	18.923076923076923
12565	12566	18.0
13094	5658	12.0
12566	13094	18.0
5656	5680	18.0
6374	10261	18.0
5682	18630	18.063157894736843
5656	5681	19.818181818181817
5572	5577	82.45161290322581
5774	5781	18.416666666666668
13500	5577	44.589473684210525
12565	5686	18.0
5767	5676	18.0
12138	5206	18.0
6373	10261	18.0
5785	12642	18.0
5676	10617	18.0
5774	5775	18.307692307692307
12642	5774	18.0
5710	5765	18.0
5694	18630	18.0
6383	9915	18.0
100373	10602	6.0
100373	13085	6.0
100359	6174	6.0
100356	6183	6.0
101408	5587	6.0
101413	5106	6.0
100359	12266	6.0
100358	6175	6.0
100404	10487	6.0
13053	13060	24.0
13056	13055	24.45
13055	13054	24.0
13054	13053	24.0
13051	13050	18.0
13050	6351	24.666666666666668
6351	13049	24.0
13047	13046	18.0
13046	11084	25.142857142857142
11084	13045	24.428571428571427
5178	13043	25.17391304347826
13043	13042	25.333333333333332
13042	5152	24.0
5152	11082	24.0
5106	13039	20.0
13114	11537	24.0
13113	13114	24.0
13112	13113	18.0
6337	13032	24.0
13170	13031	12.0
11531	13026	26.11764705882353
12135	6183	30.0
13025	13024	24.75
12137	6174	31.2
13011	13017	24.0
13012	13011	24.0
13087	13088	19.285714285714285
13085	10602	24.0
13084	13085	20.27027027027027
13079	13080	18.0
13078	13079	26.0
13077	13078	26.0
13076	13077	24.857142857142858
5431	13076	26.727272727272727
5458	10778	27.0
13075	5458	24.387096774193548
5472	13075	18.0
6184	11044	24.0
13072	13073	24.0
13071	13072	26.0
13070	13071	24.0
13062	13070	31.636363636363637
5750	10457	24.52173913043478
13057	13047	18.0
13066	5178	24.0
13043	13026	27.545454545454547
13025	13062	24.526315789473685
13042	13025	26.0
10490	5747	24.0
5747	10489	24.0
13055	13056	27.0
13054	13055	24.0
13053	13054	24.0
13041	13053	24.0
13170	13032	19.5
13195	6174	18.0
13083	10487	42.0
6351	13050	24.0
13049	6351	24.0
5750	5745	24.77777777777778
13048	6345	24.085714285714285
6339	12266	36.0
11084	13046	26.0
13091	13084	58.875
13045	11084	30.0
13044	13045	18.0
13036	13044	24.857142857142858
13043	5178	18.0
13042	13043	30.0
5152	13042	26.0
11082	5152	24.0
13162	10459	18.0
13040	13041	24.0
13198	12266	18.0
13032	13040	24.0
5581	13088	25.333333333333332
13039	13032	24.0
13038	13039	43.01052631578948
13039	5106	19.583333333333332
13086	10602	24.0
13037	13038	24.16216216216216
13176	11044	18.0
10602	13085	26.0
13085	13084	20.666666666666668
6332	13039	28.0
5106	5214	42.0
13031	5106	24.0
5188	13031	25.285714285714285
6345	5188	24.098360655737704
13154	13084	21.0
13081	13080	24.0
13030	13035	25.428571428571427
13080	13079	18.818181818181817
13034	13030	24.545454545454547
10777	10778	30.16216216216216
13079	13078	24.75
13033	13034	48.0
13078	13077	24.272727272727273
13077	13076	24.923076923076923
13048	13049	24.0
13168	5106	19.714285714285715
13030	13031	18.339622641509433
10778	5458	24.0
5458	13075	18.0
13075	5472	24.4
11082	13029	24.375
5730	11030	24.0
11031	11030	24.0
6336	13195	36.25
11044	6184	24.0
11030	10459	24.0
13073	13072	25.5
13104	13194	57.282051282051285
13072	13071	18.0
13026	11531	25.333333333333332
13025	13026	27.0
13071	13070	30.0
13070	13062	24.75
10458	10457	24.0
5178	13066	24.0
13056	13064	26.0
13157	13026	18.0
13017	13011	24.0
5722	13017	27.0
13062	13025	26.4
12137	6175	30.0
12136	6175	30.0
13011	13012	24.0
10611	5745	24.676056338028168
5747	10490	24.0
10489	5747	18.0
5414	10487	26.0
10459	10458	26.0
6174	13195	18.5
13049	13048	25.0
13198	6348	18.0
6333	13195	54.58064516129032
13177	6183	18.0
6348	6174	24.0
6146	6348	24.0
13151	5588	18.0
13093	5456	18.413793103448278
5456	5587	18.875
5585	5576	19.35483870967742
13102	11044	48.0
5585	5584	18.0
13100	13194	27.11111111111111
10486	5587	20.52
13093	5588	18.0
13077	5587	18.46153846153846
5756	13071	19.2
13085	5587	19.891304347826086
13078	5456	18.666666666666668
12736	10602	36.593023255813954
