n	tau	r	J	s	rho
13136	2	10777	3.2179312791475176	null	0
13136	0	13083	3.196597945814184	690	0
13136	1	13083	3.207264612480851	null	0
13136	2	13083	3.2179312791475176	null	0
13136	0	5454	3.196597945814184	690	0
13136	1	5454	3.207264612480851	null	0
13136	2	5454	3.2179312791475176	null	0
13136	0	10611	3.196597945814184	690	0
13136	1	10611	3.207264612480851	null	0
13136	2	10611	3.2179312791475176	null	0
13136	0	5726	3.196597945814184	690	0
13136	1	5726	3.207264612480851	null	0
13136	2	5726	3.2179312791475176	null	0
13136	0	5745	3.196597945814184	690	0
13136	1	5745	3.207264612480851	null	0
13136	2	5745	3.2179312791475176	null	0
13136	0	11770	3.196597945814184	690	0
13136	1	11770	3.207264612480851	null	0
13136	2	11770	3.2179312791475176	null	0
13136	0	5472	3.196597945814184	690	0
13136	1	5472	3.207264612480851	null	0
13136	2	5472	3.2179312791475176	null	0
13136	0	5748	3.196597945814184	690	0
13136	1	5748	3.207264612480851	null	0
13136	2	5748	3.2179312791475176	null	0
13136	0	5414	3.196597945814184	690	0
13136	1	5414	3.207264612480851	null	0
13136	2	5414	3.2179312791475176	null	0
13136	0	5749	3.196597945814184	690	0
13136	1	5749	3.207264612480851	null	0
13136	2	5749	3.2179312791475176	null	0
13137	0	0	3.1314825785195133	1470	5741
13137	1	0	3.1408009873342286	null	5741
13137	2	0	3.150420888600806	null	5741
13137	0	5471	3.1348324946513104	1470	0
13137	1	5471	3.1438159118528466	null	0
13137	2	5471	3.153134320667562	null	0
13137	0	12735	3.1348324946513104	1470	0
13137	1	12735	3.1438159118528466	null	0
13137	2	12735	3.153134320667562	null	0
13137	0	10488	3.1348324946513104	1470	0
13137	1	10488	3.1438159118528466	null	0
13137	2	10488	3.153134320667562	null	0
13137	0	5464	3.1348324946513104	1470	0
13137	1	5464	3.1438159118528466	null	0
13137	2	5464	3.153134320667562	null	0
13137	0	5741	3.1179999999999994	1470	5741
13137	1	5741	3.1303333333333327	null	5741
13137	2	5741	3.142666666666666	null	5741
13137	0	13075	3.1348324946513104	1470	0
13137	1	13075	3.1438159118528466	null	0
13137	2	13075	3.153134320667562	null	0
13137	0	5584	3.1348324946513104	1470	0
13137	1	5584	3.1438159118528466	null	0
13137	2	5584	3.153134320667562	null	0
13137	0	12670	3.1348324946513104	1470	0
13137	1	12670	3.1438159118528466	null	0
13137	2	12670	3.153134320667562	null	0
13137	0	10782	3.131430576952	1470	5741
13137	1	10782	3.142420852590133	null	5741
13137	2	10782	3.153134320667562	null	0
13137	0	12669	3.1348324946513104	1470	0
13137	1	12669	3.1438159118528466	null	0
13137	2	12669	3.153134320667562	null	0
13137	0	10487	3.1348324946513104	1470	0
13137	1	10487	3.1438159118528466	null	0
13137	2	10487	3.153134320667562	null	0
13137	0	13080	3.1348324946513104	1470	0
13137	1	13080	3.1438159118528466	null	0
13137	2	13080	3.153134320667562	null	0
13137	0	5458	3.1348324946513104	1470	0
13137	1	5458	3.1438159118528466	null	0
13137	2	5458	3.153134320667562	null	0
13137	0	10778	3.1348324946513104	1470	0
13137	1	10778	3.1438159118528466	null	0
13137	2	10778	3.153134320667562	null	0
13137	0	13082	3.1348324946513104	1470	0
13137	1	13082	3.1438159118528466	null	0
13137	2	13082	3.153134320667562	null	0
13137	0	10777	3.1348324946513104	1470	0
13137	1	10777	3.1438159118528466	null	0
13137	2	10777	3.153134320667562	null	0
13137	0	13083	3.1348324946513104	1470	0
13137	1	13083	3.1438159118528466	null	0
13137	2	13083	3.153134320667562	null	0
13137	0	5454	3.1348324946513104	1470	0
13137	1	5454	3.1438159118528466	null	0
13137	2	5454	3.153134320667562	null	0
13137	0	10611	3.1348324946513104	1470	0
13137	1	10611	3.1438159118528466	null	0
13137	2	10611	3.153134320667562	null	0
13137	0	5726	3.1348324946513104	1470	0
13137	1	5726	3.1438159118528466	null	0
13137	2	5726	3.153134320667562	null	0
13137	0	5745	3.1348324946513104	1470	0
13137	1	5745	3.1438159118528466	null	0
13137	2	5745	3.153134320667562	null	0
13137	0	11770	3.1348324946513104	1470	0
13137	1	11770	3.1438159118528466	null	0
13137	2	11770	3.153134320667562	null	0
13137	0	5472	3.1348324946513104	1470	0
13137	1	5472	3.1438159118528466	null	0
13137	2	5472	3.153134320667562	null	0
13137	0	5748	3.131430576952	1470	5741
13137	1	5748	3.142420852590133	null	5741
13137	2	5748	3.153134320667562	null	0
13137	0	5414	3.1348324946513104	1470	0
13137	1	5414	3.1438159118528466	null	0
13137	2	5414	3.153134320667562	null	0
13137	0	5749	3.1348324946513104	1470	0
13137	1	5749	3.1438159118528466	null	0
13137	2	5749	3.153134320667562	null	0
13138	0	0	3.0840644571762046	1469	5741
13138	1	0	3.090724678125251	null	5741
13138	2	0	3.0979522103127257	null	5741
13138	0	5471	3.090367915380968	1469	0
13138	1	5471	3.096397790509538	null	0
13138	2	5471	3.103058011458584	null	0
13138	0	12735	3.090367915380968	1469	0
13138	1	12735	3.096397790509538	null	0
13138	2	12735	3.103058011458584	null	0
13138	0	10488	3.090367915380968	1469	0
13138	1	10488	3.096397790509538	null	0
13138	2	10488	3.103058011458584	null	0
13138	0	5464	3.0876952880000004	1469	5741
13138	1	5464	3.0956590925333334	null	5741
13138	2	5464	3.103058011458584	null	0
13138	0	5741	3.0439999999999996	1469	5741
13138	1	5741	3.056333333333333	null	5741
13138	2	5741	3.068666666666666	null	5741
13138	0	13075	3.090367915380968	1469	0
13138	1	13075	3.096397790509538	null	0
13138	2	13075	3.103058011458584	null	0
13138	0	5584	3.090367915380968	1469	0
13138	1	5584	3.096397790509538	null	0
13138	2	5584	3.103058011458584	null	0
13138	0	12670	3.0901753460000005	1469	5741
13138	1	12670	3.096397790509538	null	0
13138	2	12670	3.103058011458584	null	0
13138	0	10782	3.0692720000000002	1469	5741
13138	1	10782	3.0790781333333337	null	5741
13138	2	10782	3.089136986666667	null	5741
13138	0	12669	3.090367915380968	1469	0
13138	1	12669	3.096397790509538	null	0
13138	2	12669	3.103058011458584	null	0
13138	0	10487	3.090367915380968	1469	0
13138	1	10487	3.096397790509538	null	0
13138	2	10487	3.103058011458584	null	0
13138	0	13080	3.090367915380968	1469	0
13138	1	13080	3.096397790509538	null	0
13138	2	13080	3.103058011458584	null	0
13138	0	5458	3.090367915380968	1469	0
13138	1	5458	3.096397790509538	null	0
13138	2	5458	3.103058011458584	null	0
13138	0	10778	3.090367915380968	1469	0
13138	1	10778	3.096397790509538	null	0
13138	2	10778	3.103058011458584	null	0
13138	0	13082	3.090367915380968	1469	0
13138	1	13082	3.096397790509538	null	0
13138	2	13082	3.103058011458584	null	0
13138	0	10777	3.090367915380968	1469	0
13138	1	10777	3.096397790509538	null	0
13138	2	10777	3.103058011458584	null	0
13138	0	13083	3.090367915380968	1469	0
13138	1	13083	3.096397790509538	null	0
13138	2	13083	3.103058011458584	null	0
13138	0	5454	3.090367915380968	1469	0
13138	1	5454	3.096397790509538	null	0
13138	2	5454	3.103058011458584	null	0
13138	0	10611	3.090367915380968	1469	0
13138	1	10611	3.096397790509538	null	0
13138	2	10611	3.103058011458584	null	0
13138	0	5726	3.090367915380968	1469	0
13138	1	5726	3.096397790509538	null	0
13138	2	5726	3.103058011458584	null	0
13138	0	5745	3.0901753460000005	1469	5741
13138	1	5745	3.096397790509538	null	0
13138	2	5745	3.103058011458584	null	0
13138	0	11770	3.090367915380968	1469	0
13138	1	11770	3.096397790509538	null	0
13138	2	11770	3.103058011458584	null	0
13138	0	5472	3.090367915380968	1469	0
13138	1	5472	3.096397790509538	null	0
13138	2	5472	3.103058011458584	null	0
13138	0	5748	3.0692720000000002	1469	5741
13138	1	5748	3.0790781333333337	null	5741
13138	2	5748	3.089136986666667	null	5741
13138	0	5414	3.090367915380968	1469	0
13138	1	5414	3.096397790509538	null	0
13138	2	5414	3.103058011458584	null	0
13138	0	5749	3.090367915380968	1469	0
13138	1	5749	3.096397790509538	null	0
13138	2	5749	3.103058011458584	null	0
13139	0	0	3.0681538049970793	1498	5748
13139	1	0	3.076171757830705	null	5748
13139	2	0	3.084621248714301	null	5748
13139	0	5471	3.0729486722189767	1498	0
13139	1	5471	3.0804871383304127	null	0
13139	2	5471	3.088505091164038	null	0
13139	0	12735	3.0729486722189767	1498	0
13139	1	12735	3.0804871383304127	null	0
13139	2	12735	3.088505091164038	null	0
13139	0	10488	3.0729486722189767	1498	0
13139	1	10488	3.0804871383304127	null	0
13139	2	10488	3.088505091164038	null	0
13139	0	5464	3.0729486722189767	1498	0
13139	1	5464	3.0804871383304127	null	0
13139	2	5464	3.088505091164038	null	0
13139	0	5741	3.0729486722189767	1498	0
13139	1	5741	3.0804871383304127	null	0
13139	2	5741	3.088505091164038	null	0
13139	0	13075	3.0729486722189767	1498	0
13139	1	13075	3.0804871383304127	null	0
13139	2	13075	3.088505091164038	null	0
13139	0	5584	3.0729486722189767	1498	0
13139	1	5584	3.0804871383304127	null	0
13139	2	5584	3.088505091164038	null	0
13139	0	12670	3.0729486722189767	1498	0
13139	1	12670	3.0804871383304127	null	0
13139	2	12670	3.088505091164038	null	0
13139	0	10782	3.0729486722189767	1498	0
13139	1	10782	3.0804871383304127	null	0
13139	2	10782	3.088505091164038	null	0
13139	0	12669	3.0729486722189767	1498	0
13139	1	12669	3.0804871383304127	null	0
13139	2	12669	3.088505091164038	null	0
13139	0	10487	3.0729486722189767	1498	0
13139	1	10487	3.0804871383304127	null	0
13139	2	10487	3.088505091164038	null	0
13139	0	13080	3.0729486722189767	1498	0
13139	1	13080	3.0804871383304127	null	0
13139	2	13080	3.088505091164038	null	0
13139	0	5458	3.0729486722189767	1498	0
13139	1	5458	3.0804871383304127	null	0
13139	2	5458	3.088505091164038	null	0
13139	0	10778	3.0729486722189767	1498	0
13139	1	10778	3.0804871383304127	null	0
13139	2	10778	3.088505091164038	null	0
13139	0	13082	3.0729486722189767	1498	0
13139	1	13082	3.0804871383304127	null	0
13139	2	13082	3.088505091164038	null	0
13139	0	10777	3.0729486722189767	1498	0
13139	1	10777	3.0804871383304127	null	0
13139	2	10777	3.088505091164038	null	0
13139	0	13083	3.0729486722189767	1498	0
13139	1	13083	3.0804871383304127	null	0
13139	2	13083	3.088505091164038	null	0
13139	0	5454	3.0729486722189767	1498	0
13139	1	5454	3.0804871383304127	null	0
13139	2	5454	3.088505091164038	null	0
13139	0	10611	3.0729486722189767	1498	0
13139	1	10611	3.0804871383304127	null	0
13139	2	10611	3.088505091164038	null	0
13139	0	5726	3.0729486722189767	1498	0
13139	1	5726	3.0804871383304127	null	0
13139	2	5726	3.088505091164038	null	0
13139	0	5745	3.070340666666667	1498	5748
13139	1	5745	3.0798066000000004	null	5748
13139	2	5745	3.088505091164038	null	0
13139	0	11770	3.0729486722189767	1498	0
13139	1	11770	3.0804871383304127	null	0
13139	2	11770	3.088505091164038	null	0
13139	0	5472	3.0729486722189767	1498	0
13139	1	5472	3.0804871383304127	null	0
13139	2	5472	3.088505091164038	null	0
13139	0	5748	3.041666666666667	1498	5748
13139	1	5748	3.0540000000000003	null	5748
13139	2	5748	3.0663333333333336	null	5748
13139	0	5414	3.0729486722189767	1498	0
13139	1	5414	3.0804871383304127	null	0
13139	2	5414	3.088505091164038	null	0
13139	0	5749	3.0729486722189767	1498	0
13139	1	5749	3.0804871383304127	null	0
13139	2	5749	3.088505091164038	null	0
13140	0	0	3.368523896191418	1394	0
13140	1	0	3.379190562858085	null	0
13140	2	0	3.3898572295247518	null	0
13140	0	5471	3.3701905628580846	1394	0
13140	1	5471	3.3808572295247514	null	0
13140	2	5471	3.3915238961914183	null	0
13140	0	12735	3.3701905628580846	1394	0
13140	1	12735	3.3808572295247514	null	0
13140	2	12735	3.3915238961914183	null	0
13140	0	10488	3.3701905628580846	1394	0
13140	1	10488	3.3808572295247514	null	0
13140	2	10488	3.3915238961914183	null	0
13140	0	5464	3.3701905628580846	1394	0
13140	1	5464	3.3808572295247514	null	0
13140	2	5464	3.3915238961914183	null	0
13140	0	5741	3.3701905628580846	1394	0
13140	1	5741	3.3808572295247514	null	0
13140	2	5741	3.3915238961914183	null	0
13140	0	13075	3.3701905628580846	1394	0
13140	1	13075	3.3808572295247514	null	0
13140	2	13075	3.3915238961914183	null	0
13140	0	5584	3.3701905628580846	1394	0
13140	1	5584	3.3808572295247514	null	0
13140	2	5584	3.3915238961914183	null	0
13140	0	12670	3.3701905628580846	1394	0
13140	1	12670	3.3808572295247514	null	0
13140	2	12670	3.3915238961914183	null	0
13140	0	10782	3.3701905628580846	1394	0
13140	1	10782	3.3808572295247514	null	0
13140	2	10782	3.3915238961914183	null	0
13140	0	12669	3.3701905628580846	1394	0
13140	1	12669	3.3808572295247514	null	0
13140	2	12669	3.3915238961914183	null	0
13140	0	10487	3.3701905628580846	1394	0
13140	1	10487	3.3808572295247514	null	0
13140	2	10487	3.3915238961914183	null	0
13140	0	13080	3.3701905628580846	1394	0
13140	1	13080	3.3808572295247514	null	0
13140	2	13080	3.3915238961914183	null	0
13140	0	5458	3.3701905628580846	1394	0
13140	1	5458	3.3808572295247514	null	0
13140	2	5458	3.3915238961914183	null	0
13140	0	10778	3.3701905628580846	1394	0
13140	1	10778	3.3808572295247514	null	0
13140	2	10778	3.3915238961914183	null	0
13140	0	13082	3.3701905628580846	1394	0
13140	1	13082	3.3808572295247514	null	0
13140	2	13082	3.3915238961914183	null	0
13140	0	10777	3.3701905628580846	1394	0
13140	1	10777	3.3808572295247514	null	0
13140	2	10777	3.3915238961914183	null	0
13140	0	13083	3.3701905628580846	1394	0
13140	1	13083	3.3808572295247514	null	0
13140	2	13083	3.3915238961914183	null	0
13140	0	5454	3.3701905628580846	1394	0
13140	1	5454	3.3808572295247514	null	0
13140	2	5454	3.3915238961914183	null	0
13140	0	10611	3.3701905628580846	1394	0
13140	1	10611	3.3808572295247514	null	0
13140	2	10611	3.3915238961914183	null	0
13140	0	5726	3.3701905628580846	1394	0
13140	1	5726	3.3808572295247514	null	0
13140	2	5726	3.3915238961914183	null	0
13140	0	5745	3.3701905628580846	1394	0
13140	1	5745	3.3808572295247514	null	0
13140	2	5745	3.3915238961914183	null	0
13140	0	11770	3.3701905628580846	1394	0
13140	1	11770	3.3808572295247514	null	0
13140	2	11770	3.3915238961914183	null	0
13140	0	5472	3.3701905628580846	1394	0
13140	1	5472	3.3808572295247514	null	0
13140	2	5472	3.3915238961914183	null	0
13140	0	5748	3.3701905628580846	1394	0
13140	1	5748	3.3808572295247514	null	0
13140	2	5748	3.3915238961914183	null	0
13140	0	5414	3.3701905628580846	1394	0
13140	1	5414	3.3808572295247514	null	0
13140	2	5414	3.3915238961914183	null	0
13140	0	5749	3.3701905628580846	1394	0
13140	1	5749	3.3808572295247514	null	0
13140	2	5749	3.3915238961914183	null	0
13141	0	0	3.2553558783443233	1482	0
13141	1	0	3.26602254501099	null	0
13141	2	0	3.276689211677657	null	0
13141	0	5471	3.2570225450109898	1482	0
13141	1	5471	3.2676892116776566	null	0
13141	2	5471	3.2783558783443234	null	0
13141	0	12735	3.2570225450109898	1482	0
13141	1	12735	3.2676892116776566	null	0
13141	2	12735	3.2783558783443234	null	0
13141	0	10488	3.2570225450109898	1482	0
13141	1	10488	3.2676892116776566	null	0
13141	2	10488	3.2783558783443234	null	0
13141	0	5464	3.2570225450109898	1482	0
13141	1	5464	3.2676892116776566	null	0
13141	2	5464	3.2783558783443234	null	0
13141	0	5741	3.2570225450109898	1482	0
13141	1	5741	3.2676892116776566	null	0
13141	2	5741	3.2783558783443234	null	0
13141	0	13075	3.2570225450109898	1482	0
13141	1	13075	3.2676892116776566	null	0
13141	2	13075	3.2783558783443234	null	0
13141	0	5584	3.2570225450109898	1482	0
13141	1	5584	3.2676892116776566	null	0
13141	2	5584	3.2783558783443234	null	0
13141	0	12670	3.2570225450109898	1482	0
13141	1	12670	3.2676892116776566	null	0
13141	2	12670	3.2783558783443234	null	0
13141	0	10782	3.2570225450109898	1482	0
13141	1	10782	3.2676892116776566	null	0
13141	2	10782	3.2783558783443234	null	0
13141	0	12669	3.2570225450109898	1482	0
13141	1	12669	3.2676892116776566	null	0
13141	2	12669	3.2783558783443234	null	0
13141	0	10487	3.2570225450109898	1482	0
13141	1	10487	3.2676892116776566	null	0
13141	2	10487	3.2783558783443234	null	0
13141	0	13080	3.2570225450109898	1482	0
13141	1	13080	3.2676892116776566	null	0
13141	2	13080	3.2783558783443234	null	0
13141	0	5458	3.2570225450109898	1482	0
13141	1	5458	3.2676892116776566	null	0
13141	2	5458	3.2783558783443234	null	0
13141	0	10778	3.2570225450109898	1482	0
13141	1	10778	3.2676892116776566	null	0
13141	2	10778	3.2783558783443234	null	0
13141	0	13082	3.2570225450109898	1482	0
13141	1	13082	3.2676892116776566	null	0
13141	2	13082	3.2783558783443234	null	0
13141	0	10777	3.2570225450109898	1482	0
13141	1	10777	3.2676892116776566	null	0
13141	2	10777	3.2783558783443234	null	0
13141	0	13083	3.2570225450109898	1482	0
13141	1	13083	3.2676892116776566	null	0
13141	2	13083	3.2783558783443234	null	0
13141	0	5454	3.2570225450109898	1482	0
13141	1	5454	3.2676892116776566	null	0
13141	2	5454	3.2783558783443234	null	0
13141	0	10611	3.2570225450109898	1482	0
13141	1	10611	3.2676892116776566	null	0
13141	2	10611	3.2783558783443234	null	0
13141	0	5726	3.2570225450109898	1482	0
13141	1	5726	3.2676892116776566	null	0
13141	2	5726	3.2783558783443234	null	0
13141	0	5745	3.2570225450109898	1482	0
13141	1	5745	3.2676892116776566	null	0
13141	2	5745	3.2783558783443234	null	0
13141	0	11770	3.2570225450109898	1482	0
13141	1	11770	3.2676892116776566	null	0
13141	2	11770	3.2783558783443234	null	0
13141	0	5472	3.2570225450109898	1482	0
13141	1	5472	3.2676892116776566	null	0
13141	2	5472	3.2783558783443234	null	0
13141	0	5748	3.2570225450109898	1482	0
13141	1	5748	3.2676892116776566	null	0
13141	2	5748	3.2783558783443234	null	0
13141	0	5414	3.2570225450109898	1482	0
13141	1	5414	3.2676892116776566	null	0
13141	2	5414	3.2783558783443234	null	0
13141	0	5749	3.2570225450109898	1482	0
13141	1	5749	3.2676892116776566	null	0
13141	2	5749	3.2783558783443234	null	0
13142	0	0	3.3229312791475194	1493	0
13142	1	0	3.3335979458141862	null	0
13142	2	0	3.344264612480853	null	0
13142	0	5471	3.324597945814186	1493	0
13142	1	5471	3.3352646124808527	null	0
13142	2	5471	3.3459312791475195	null	0
13142	0	12735	3.324597945814186	1493	0
13142	1	12735	3.3352646124808527	null	0
13142	2	12735	3.3459312791475195	null	0
13142	0	10488	3.324597945814186	1493	0
13142	1	10488	3.3352646124808527	null	0
13142	2	10488	3.3459312791475195	null	0
13142	0	5464	3.324597945814186	1493	0
13142	1	5464	3.3352646124808527	null	0
13142	2	5464	3.3459312791475195	null	0
13142	0	5741	3.324597945814186	1493	0
13142	1	5741	3.3352646124808527	null	0
13142	2	5741	3.3459312791475195	null	0
13142	0	13075	3.324597945814186	1493	0
13142	1	13075	3.3352646124808527	null	0
13142	2	13075	3.3459312791475195	null	0
13142	0	5584	3.324597945814186	1493	0
13142	1	5584	3.3352646124808527	null	0
13142	2	5584	3.3459312791475195	null	0
13142	0	12670	3.324597945814186	1493	0
13142	1	12670	3.3352646124808527	null	0
13142	2	12670	3.3459312791475195	null	0
13142	0	10782	3.324597945814186	1493	0
13142	1	10782	3.3352646124808527	null	0
13142	2	10782	3.3459312791475195	null	0
13142	0	12669	3.324597945814186	1493	0
13142	1	12669	3.3352646124808527	null	0
13142	2	12669	3.3459312791475195	null	0
13142	0	10487	3.324597945814186	1493	0
13142	1	10487	3.3352646124808527	null	0
13142	2	10487	3.3459312791475195	null	0
13142	0	13080	3.324597945814186	1493	0
13142	1	13080	3.3352646124808527	null	0
13142	2	13080	3.3459312791475195	null	0
13142	0	5458	3.324597945814186	1493	0
13142	1	5458	3.3352646124808527	null	0
13142	2	5458	3.3459312791475195	null	0
13142	0	10778	3.324597945814186	1493	0
13142	1	10778	3.3352646124808527	null	0
13142	2	10778	3.3459312791475195	null	0
13142	0	13082	3.324597945814186	1493	0
13142	1	13082	3.3352646124808527	null	0
13142	2	13082	3.3459312791475195	null	0
13142	0	10777	3.324597945814186	1493	0
13142	1	10777	3.3352646124808527	null	0
13142	2	10777	3.3459312791475195	null	0
13142	0	13083	3.324597945814186	1493	0
13142	1	13083	3.3352646124808527	null	0
13142	2	13083	3.3459312791475195	null	0
13142	0	5454	3.324597945814186	1493	0
13142	1	5454	3.3352646124808527	null	0
13142	2	5454	3.3459312791475195	null	0
13142	0	10611	3.324597945814186	1493	0
13142	1	10611	3.3352646124808527	null	0
13142	2	10611	3.3459312791475195	null	0
13142	0	5726	3.324597945814186	1493	0
13142	1	5726	3.3352646124808527	null	0
13142	2	5726	3.3459312791475195	null	0
13142	0	5745	3.324597945814186	1493	0
13142	1	5745	3.3352646124808527	null	0
13142	2	5745	3.3459312791475195	null	0
13142	0	11770	3.324597945814186	1493	0
13142	1	11770	3.3352646124808527	null	0
13142	2	11770	3.3459312791475195	null	0
13142	0	5472	3.324597945814186	1493	0
13142	1	5472	3.3352646124808527	null	0
13142	2	5472	3.3459312791475195	null	0
13142	0	5748	3.324597945814186	1493	0
13142	1	5748	3.3352646124808527	null	0
13142	2	5748	3.3459312791475195	null	0
13142	0	5414	3.324597945814186	1493	0
13142	1	5414	3.3352646124808527	null	0
13142	2	5414	3.3459312791475195	null	0
13142	0	5749	3.324597945814186	1493	0
13142	1	5749	3.3352646124808527	null	0
13142	2	5749	3.3459312791475195	null	0
13143	0	0	3.1765238961914153	1419	0
13143	1	0	3.187190562858082	null	0
13143	2	0	3.197857229524749	null	0
13143	0	5471	3.1781905628580818	1419	0
13143	1	5471	3.1888572295247486	null	0
13143	2	5471	3.1995238961914154	null	0
13143	0	12735	3.1781905628580818	1419	0
13143	1	12735	3.1888572295247486	null	0
13143	2	12735	3.1995238961914154	null	0
13143	0	10488	3.1781905628580818	1419	0
13143	1	10488	3.1888572295247486	null	0
13143	2	10488	3.1995238961914154	null	0
13143	0	5464	3.1781905628580818	1419	0
13143	1	5464	3.1888572295247486	null	0
13143	2	5464	3.1995238961914154	null	0
13143	0	5741	3.1781905628580818	1419	0
13143	1	5741	3.1888572295247486	null	0
13143	2	5741	3.1995238961914154	null	0
13143	0	13075	3.1781905628580818	1419	0
13143	1	13075	3.1888572295247486	null	0
13143	2	13075	3.1995238961914154	null	0
13143	0	5584	3.1781905628580818	1419	0
13143	1	5584	3.1888572295247486	null	0
13143	2	5584	3.1995238961914154	null	0
13143	0	12670	3.1781905628580818	1419	0
13143	1	12670	3.1888572295247486	null	0
13143	2	12670	3.1995238961914154	null	0
13143	0	10782	3.1781905628580818	1419	0
13143	1	10782	3.1888572295247486	null	0
13143	2	10782	3.1995238961914154	null	0
13143	0	12669	3.1781905628580818	1419	0
13143	1	12669	3.1888572295247486	null	0
13143	2	12669	3.1995238961914154	null	0
13143	0	10487	3.1781905628580818	1419	0
13143	1	10487	3.1888572295247486	null	0
13143	2	10487	3.1995238961914154	null	0
13143	0	13080	3.1781905628580818	1419	0
13143	1	13080	3.1888572295247486	null	0
13143	2	13080	3.1995238961914154	null	0
13143	0	5458	3.1781905628580818	1419	0
13143	1	5458	3.1888572295247486	null	0
13143	2	5458	3.1995238961914154	null	0
13143	0	10778	3.1781905628580818	1419	0
13143	1	10778	3.1888572295247486	null	0
13143	2	10778	3.1995238961914154	null	0
13143	0	13082	3.1781905628580818	1419	0
13143	1	13082	3.1888572295247486	null	0
13143	2	13082	3.1995238961914154	null	0
13143	0	10777	3.1781905628580818	1419	0
13143	1	10777	3.1888572295247486	null	0
13143	2	10777	3.1995238961914154	null	0
13143	0	13083	3.1781905628580818	1419	0
13143	1	13083	3.1888572295247486	null	0
13143	2	13083	3.1995238961914154	null	0
13143	0	5454	3.1781905628580818	1419	0
13143	1	5454	3.1888572295247486	null	0
13143	2	5454	3.1995238961914154	null	0
13143	0	10611	3.1781905628580818	1419	0
13143	1	10611	3.1888572295247486	null	0
13143	2	10611	3.1995238961914154	null	0
13143	0	5726	3.1781905628580818	1419	0
13143	1	5726	3.1888572295247486	null	0
13143	2	5726	3.1995238961914154	null	0
13143	0	5745	3.1781905628580818	1419	0
13143	1	5745	3.1888572295247486	null	0
13143	2	5745	3.1995238961914154	null	0
13143	0	11770	3.1781905628580818	1419	0
13143	1	11770	3.1888572295247486	null	0
13143	2	11770	3.1995238961914154	null	0
13143	0	5472	3.1781905628580818	1419	0
13143	1	5472	3.1888572295247486	null	0
13143	2	5472	3.1995238961914154	null	0
13143	0	5748	3.1781905628580818	1419	0
13143	1	5748	3.1888572295247486	null	0
13143	2	5748	3.1995238961914154	null	0
13143	0	5414	3.1781905628580818	1419	0
13143	1	5414	3.1888572295247486	null	0
13143	2	5414	3.1995238961914154	null	0
13143	0	5749	3.1781905628580818	1419	0
13143	1	5749	3.1888572295247486	null	0
13143	2	5749	3.1995238961914154	null	0
13144	0	0	3.1765238961914153	1574	0
13144	1	0	3.187190562858082	null	0
13144	2	0	3.197857229524749	null	0
13144	0	5471	3.1781905628580818	1564	0
13144	1	5471	3.1888572295247486	null	0
13144	2	5471	3.1995238961914154	null	0
13144	0	12735	3.1781905628580818	1574	0
13144	1	12735	3.1888572295247486	null	0
13144	2	12735	3.1995238961914154	null	0
13144	0	10488	3.1781905628580818	1564	0
13144	1	10488	3.1888572295247486	null	0
13144	2	10488	3.1995238961914154	null	0
13144	0	5464	3.1781905628580818	1574	0
13144	1	5464	3.1888572295247486	null	0
13144	2	5464	3.1995238961914154	null	0
13144	0	5741	3.1781905628580818	1564	0
13144	1	5741	3.1888572295247486	null	0
