Iter	Step	Moved	Gap %	AEC	TSTT	Trips	Non-exit	time
34	0.0294	6	0.91%	0.2	0.9	174	1	0.01
35	0.0286	5	0.73%	0.1	0.9	174	1	0.01
36	0.0278	5	0.73%	0.1	0.9	174	1	0.01
37	0.0270	6	0.73%	0.1	0.9	174	1	0.01
38	0.0263	3	0.73%	0.1	0.9	174	1	0.01
39	0.0256	8	0.73%	0.1	0.9	174	1	0.01
40	0.0250	5	0.73%	0.1	0.9	174	1	0.01
41	0.0244	7	0.73%	0.1	0.9	174	1	0.01
42	0.0238	4	0.73%	0.1	0.9	174	1	0.02
43	0.0233	4	7.37%	1.4	0.9	174	1	0.01
44	0.0227	6	0.73%	0.1	0.9	174	1	0.01
45	0.0222	0	0.73%	0.1	0.9	174	1	0.01
46	0.0217	2	0.73%	0.1	0.9	174	1	0.00
47	0.0213	2	0.73%	0.1	0.9	174	1	0.00
48	0.0208	0	0.73%	0.1	0.9	174	1	0.00
49	0.0204	4	0.73%	0.1	0.9	174	1	0.01
50	0.0200	3	0.73%	0.1	0.9	174	1	0.01
51	0.0196	2	0.73%	0.1	0.9	174	1	0.00
52	0.0192	2	0.73%	0.1	0.9	174	1	0.01
53	0.0189	2	0.73%	0.1	0.9	174	1	0.01
54	0.0185	5	0.73%	0.1	0.9	174	1	0.01
55	0.0182	3	0.73%	0.1	0.9	174	1	0.01
56	0.0179	6	0.73%	0.1	0.9	174	1	0.01
57	0.0175	0	0.73%	0.1	0.9	174	1	0.01
58	0.0172	1	0.73%	0.1	0.9	174	1	0.01
59	0.0169	2	0.73%	0.1	0.9	174	1	0.01
60	0.0167	3	0.73%	0.1	0.9	174	1	0.00
61	0.0164	4	0.73%	0.1	0.9	174	1	0.00
62	0.0161	0	0.73%	0.1	0.9	174	1	0.00
63	0.0159	7	0.73%	0.1	0.9	174	1	0.00
64	0.0156	7	0.73%	0.1	0.9	174	1	0.00
65	0.0154	4	0.73%	0.1	0.9	174	1	0.01
66	0.0152	2	7.17%	1.4	0.9	174	1	0.01
67	0.0149	3	0.73%	0.1	0.9	174	1	0.00
68	0.0147	4	7.17%	1.4	0.9	174	1	0.01
69	0.0145	5	0.90%	0.2	0.9	174	1	0.00
70	0.0143	2	0.90%	0.2	0.9	174	1	0.00
71	0.0141	4	0.72%	0.1	0.9	174	1	0.00
72	0.0139	3	0.72%	0.1	0.9	174	1	0.00
73	0.0137	2	0.72%	0.1	0.9	174	1	0.00
74	0.0135	3	0.72%	0.1	0.9	174	1	0.00
75	0.0133	4	0.72%	0.1	0.9	174	1	0.00
76	0.0132	0	0.72%	0.1	0.9	174	1	0.00
77	0.0130	2	0.72%	0.1	0.9	174	1	0.00
78	0.0128	2	0.72%	0.1	0.9	174	1	0.00
79	0.0127	2	0.72%	0.1	0.9	174	1	0.00
80	0.0125	2	0.72%	0.1	0.9	174	1	0.00
81	0.0123	1	7.17%	1.4	0.9	174	1	0.00
82	0.0122	1	0.72%	0.1	0.9	174	1	0.00
83	0.0120	1	0.72%	0.1	0.9	174	1	0.00
84	0.0119	1	0.72%	0.1	0.9	174	1	0.00
85	0.0118	3	0.72%	0.1	0.9	174	1	0.00
86	0.0116	2	0.72%	0.1	0.9	174	1	0.00
87	0.0115	1	0.72%	0.1	0.9	174	1	0.00
88	0.0114	2	0.72%	0.1	0.9	174	1	0.00
89	0.0112	1	0.72%	0.1	0.9	174	1	0.00
90	0.0111	1	0.72%	0.1	0.9	174	1	0.00
91	0.0110	2	0.72%	0.1	0.9	174	1	0.00
92	0.0109	2	0.72%	0.1	0.9	174	1	0.00
93	0.0108	1	0.72%	0.1	0.9	174	1	0.01
94	0.0106	3	0.72%	0.1	0.9	174	1	0.00
95	0.0105	0	0.72%	0.1	0.9	174	1	0.00
96	0.0104	1	0.72%	0.1	0.9	174	1	0.01
97	0.0103	2	0.72%	0.1	0.9	174	1	0.00
98	0.0102	3	0.72%	0.1	0.9	174	1	0.00
99	0.0101	2	0.72%	0.1	0.9	174	1	0.00
TSTT	0.2	hr
Avg. TT	0.06	min/veh

Energy:	0.0
VMT:	0.00
MPG:	NaN

HV TT:	0.06	min
AV TT:	0.00	min

DA TT:	0.06	min
Bus TT:	0.00	min
Bus TT ratio:	NaN
CPU time: 0.8s
